name,writer,translator,nasher,sku,price,pages,year_shamsi,year_miladi,nobat,ghat,jeld,description,category
ذن و هنر امرار معاش,لارنس جی بولت,شهلا آقاپور، ،,سوره مهر,978-6224909176,165750,156.0,1404.0,2023.0,1.0,رقعی,شومیز,فیلیپ هام (1959، آلمان) هنرمند، کارگردان فیلم و مدیر اجرایی سابق کسب و کار اروپایی است.,مالی
کارواش دوچرخه,لیلیان هوبن,نامشخص,مهرک,978-6224835314,148750,24.0,1404.0,,1.0,خشتی,شومیز,فاطمه شایان پویا متولد سال 1362، نویسنده ایرانی است.,مالی
منحنی رشد استارتاپی,هوارد لاو,مصطفی صفدری رنجبر،,دنیای اقتصاد,978-6004971669,272000,282.0,1404.0,2015.0,1.0,رقعی,شومیز,دکتر آنیکا اشتایبر یک مدیر ارشد اجرایی، مشاور، نویسنده و محقق با مدرک دکترا است. در مدیریت فناوری از دانشگاه چالمرز در سوئد. دکتر اشتایبر برای چندین دهه تحقیقاتی را در مورد مدیریت برای نوآوری در دنیایی که به سرعت در حال تغییر است و به موازات سمت‌های ارشد اجرایی، مشاوره و هیئت مدیره انجام داده است. او در سال 2024، نویسنده 17 کتاب مدیریتی از جمله مدل گوگل: مدیریت برای نوآوری مستمر در جهان به سرعت در حال تغییر (ویرایش اول، اسپرینگر، 2014)، مدل دره سیلیکون: مدیریت برای کارآفرینی (نسخه اول، اسپرینگر، 2016؛ نسخه دوم، نسخه دیجیتالی، وایج 20، چاپ دوم، چاپ دوم، چاپ دیجیتالی، 2016، چاپ دوم، 2016، چاپ دوم، 2016، 2016) از دره سیلیکون پیشی گرفت؟ (اسپرینگر، 2018). او به مدت پنج سال مدیر کارآفرینی و نوآوری در کالج منلو (کالیفرنیا، ایالات متحده آمریکا) بود و در حال حاضر بنیانگذار و مدیر بینش مدیریت و همچنین مرکز دره سیلیکون رندانهای است.,مالی
سیستم مدیریت سرمایه معامله گر,بنت مک داول,بهروز خدارحمی،,آوند دانش,978-6222621094,127500,89.0,1404.0,2007.0,1.0,جیبی,شومیز,بازارهای مالی ممکن است پیچیده به نظر برسند، اما این کتاب به شما کمک می کند تا مفاهیم کلیدی را به راحتی درک کنید. از سهام و اوراق قرضه گرفته تا ارزهای دیجیتال و جایگزین های نوین همه چیز را به زبانی ساده و کاربردی توضیح داده‌ایم. اگر می‌خواهید دانش مالی خود را افزایش دهید، این کتاب بهترین نقطه برای شروع است.,مالی
اقتصاد دانش بنیان,فرشاد مومنی,نامشخص,دانشگاه تهران,978-9640378014,421200,360.0,1404.0,,1.0,وزیری,شومیز,عزت‌الله عباسیان نویسنده ایرانی، متولد1346 می‌باشد.,مالی
اقتصاد انرژی در ایران (با رویکرد اقتصاد مقاومتی),سمیه دهقانپوروحید,امیرعباس قربانی، ،,کاسپین دانش,978-6008572954,229500,194.0,1404.0,2020.0,1.0,رقعی,شومیز,نامشخص,مالی
سازمان های بین المللی پولی و مالی,یگانه موسوی جهرمی,امیرعباس قربانی، ،,کاسپین دانش,978-6008572978,127500,82.0,1404.0,2015.0,1.0,رقعی,شومیز,"""معاملات فارکس"" راهنمایی موجز و شفاف برای ورود به بازار جهانی ارز است؛ نوشته‌ی جیم براون، معامله‌گر باتجربه‌ای که با زبانی روشن و بی‌پیرایه، مفاهیم پیچیده را برای تازه‌واردان قابل فهم می‌سازد. این کتاب، به دور از اصطلاحات فنی و وعده‌های اغراق‌آمیز، اصول کلیدی فارکس را توضیح می‌دهد: از ساختار جفت‌ارزها و محاسبه‌ی پیپ‌ها و لات‌ها گرفته تا تفاوت تحلیل تکنیکال و بنیادی و اصول مدیریت ریسک.
براون با بازگویی مسیر خود - از ترسیم دستی نمودارها در سال ۲۰۰۲ تا توسعه‌ی سیستم‌های خودکار امروزی - نگاهی صادقانه و بی‌ادعا به فرآیند یادگیری ارائه می‌دهد. او درک خواننده را از مفاهیم پایه مانند کارکرد بازار ۲۴ ساعته، تأثیر شاخص‌های اقتصادی، و نقش حیاتی حد ضرر و کنترل ریسک، گام به گام پرورش می‌دهد. این کتاب به مباحث استراتژیک‌تری چون سبک‌های معاملاتی کوتاه‌مدت و بلندمدت، روان‌شناسی معامله‌گری، و تصمیم‌گیری هوشمندانه در نقاط ورود و خروج نیز می‌پردازد. رویکرد آموزشی براون بر شفافیت، سادگی و مسئولیت‌پذیری تأکید دارد - کیفیت‌هایی که آن را از بسیاری آثار مشابه متمایز می‌کند. یکی از نقاط قوت اصلی کتاب، سخاوت نویسنده است: او سیستم‌های معاملاتی آماده و اندیکاتورهای اختصاصی خود را برای پلتفرم‌های MT4، MT5 و TradingView در اختیار خوانندگان قرار می‌دهد. همچنین، ارتباط مستقیم با جامعه‌ی آموزشی او از طریق گروه فیس‌بوک و کانال تلگرام، فضایی حمایتی برای یادگیری مستمر فراهم می‌سازد. کتاب در سال ۲۰۲۴ از سوی Investopedia به‌عنوان یکی از منابع برتر آموزش فارکس معرفی شد و به‌خاطر اختصار، کاربردی بودن و رویکرد توانمندساز خود، مورد تحسین منتقدان و خوانندگان قرار گرفت.
در نهایت، ""معاملات فارکس"" نه‌تنها مقدمه‌ای عملی برای ورود به بازار ارز است، بلکه خواننده را به یادگیری مسئولانه، رشد تدریجی و مشارکت در یک شبکه‌ی یادگیرنده دعوت می‌کند.",مالی
کمونیسم رفت،ما ماندیم و حتی خندیدیم,اسلاونکا دراکولیچ,فرزانه نقدی،,کتابستان بر خط,978-6228784724,306000,322.0,1404.0,2024.0,1.0,رقعی,شومیز,"کتاب «معادله ثروت» اثری تلفیقی از روان‌شناسی، اقتصاد، خردپروری و فلسفه است که به قلم «اسکات گالووی» استاد تبلیغات امریکایی، نوشته شده است.
به‌دست‌آوردن ثروت از دیرباز دغدغه‌ی مهم بسیاری از مردم جهان بوده است. استفاده از روش‌های عجیبی همچون جستجو به دنبال گنج‌ها، منابع طلا و ریسک‌های زیادی که در این زمینه انجام شده است باعث شده که پیداکردن ثروت، کیمیایی ارزشمند در بین جوامع انسانی باشد.
نگاه روان‌شناسانه اما در دهه‌های اخیر باعث شده، کشف ثروت، نه‌تنها در جهان پیرامون افراد که در جهان ذهنی و شخصی انسان‌ها مورد جستجو قرار گیرد. به‌راستی اگر گنج گران‌بهایی که تمام نسل بشر به دنبالش بوده، به‌جای اعماق زمین در ذهن او پنهان شده باشد چه؟
کتاب «معادله ثروت» با نام فرعی ""فرمولی ساده برای امنیت مالی"" دقیقا در همین مورد نوشته شده است. اسکات گالووی، کارآفرین برتر و استاد دانشگاه آمریکایی در این کتاب پرده از رازی مهم در علم اقتصاد بر می‌دارد و منبعی مهم برای خلق ثروت را پیش روی مخاطبان قرار می‌دهد.
گالووی در ابتدای کتاب تعریف جامعی از ثروت ارائه می‌دهد و آن را صرفا به معنای پول نمی‌داند. او ثروت را عاملی نهفته در امنیت اقتصادی و آزادی معرفی می‌کند و به طور ساده توانایی تأمین نیازهای مالی حال و آینده را بهترین تعریف برای ثروت مطرح می‌کند.
در ادامه موضوع امنیت اقتصادی موردبحث قرار می‌گیرد که برای تأمین آن افراد لازم است نسبت به استعدادهای درونی خود آگاهی پیدا کرده باشند.
در ادامه مواردی همچون تمرکز، رواقی‌گری فلسفی و قناعت، زمان و ایجاد تنوع به عنوان مهم‌ترین عوامل دخیل در فرمول ثروت مطرح می‌شوند که هر یک جداگانه مورد بررسی قرار می‌گیرند و چگونگی تأثیر هریک در این معادله به طور دقیق ارزیابی می‌شود.
گالووی در کتاب مهم خود «معادله ثروت» به‌خوبی نشان می‌دهد که ثروت اگرچه می‌تواند در بیرون از جهان فرد نیز وجود داشته باشد، اما سهم درونیات فرد در کسب ثروت بسیار بیشتر است. از این منظر هر فردی می‌تواند با تسلط بیشتر به جهان درونی خود، پیش‌سازهای خلق و جذب ثروت را به وجود آورد. مطالعه این اثر برای علاقه‌مندان به مباحث توسعه فردی و روان‌شناسی و همچنین اقتصاد جالب‌توجه خواهد بود.",مالی
نقش تجارت بین المللی در توسعه اقتصادی,مهشید قطبی راوندی,نامشخص,دیباگران تهران,978-6222189174,161500,112.0,1404.0,,1.0,وزیری,شومیز,در این کتاب، تلاش شده است که به زبان ساده و در عین حال حرفه‌ای، ویژگی‌ها و جوانب مختلف هر یک از بازارهای ارز دیجیتال، فارکس و بورس مورد بررسی و مقایسه قرار گیرد. هدف من این است که شما پس از مطالعه این اثر، قادر باشید با آگاهی کامل و برنامه‌ریزی صحیح، بهترین مسیر ممکن را برای کسب در آمد و موفقیت در بازارهای مالی انتخاب کنید و سپس وارد این دنیای پیچیده و پرریسک شوید. این کتاب، به‌نوعی پلی است میان شما و فرصت‌هایی که ممکن است پیش از این از آنها غافل بوده‌اید.,مالی
تو هم می توانی ثروتمند شوی,مارک رکلا,وحید کریمی،,نگاه نوین,978-6225467293,180000,171.0,1404.0,2024.0,1.0,رقعی,شومیز,در کتاب «۳۲ قانون ابدی پول و موفقیت»، برایان تریسی، یکی از چهره‌های برجسته در حوزه توسعه فردی و موفقیت مالی، ذهنیت موفق و اصول بنیادینی را معرفی می‌کند که می‌تواند زندگی هر فرد را به‌طور کلی متحول کند. این کتاب نه تنها به مخاطبانش نشان می‌دهد که چگونه با استفاده از قوانین مطمئن و اثبات‌شده به سمت بهبود وضعیت مالی خود حرکت کنند، بلکه به آن‌ها کمک می‌کند تا محدودیت‌های فکری و عادت‌های منفی را کنار بگذارند و به یک زندگی پربارتر دست یابند. تریسی در ابتدای کتاب، بر اهمیت داشتن ذهنیت مثبت و رو به رشد تاکید می‌کند. او معتقد است که تغییر در نگرش و باورهای فردی، نخستین قدم برای دستیابی به موفقیت‌های بزرگ در بخش‌های مختلف زندگی است. از همین رو، او ۳۲ قانون را ارائه می‌دهد که همگی طراحی شده‌اند تا راهنمای عملی برای تنظیم اهداف، مدیریت زمان و سرمایه‌گذاری هوشمندانه باشند. این قوانین به گونه‌ای تنظیم شده‌اند که هر کسی، صرف نظر از وضعیت فعلی خود، بتواند با به کارگیری آن‌ها به تدریج وضعیت مالی و شخصی خود را بهبود بخشد. قابل ذکر است که یکی از نکات برجسته کتاب، تقسیم‌بندی محتوا به دو بخش اصلی است؛ بخش اول اختصاص دارد به تغییر نگرش و بازسازی باورهای فردی. در این بخش، تریسی خواننده را ترغیب می‌کند تا بازنگری عمیقی در الگوهای فکری خود به عمل آورد و از محدودیت‌های ذهنی که برای دستیابی به موفقیت ایجاد شده‌اند، آگاه شود. او با ارائه تمرین‌ها و مثال‌های ملموس، نشان می‌دهد که چگونه می‌توان از ترس‌ها و تردیدهای ناشی از تجربیات گذشته رهایی یافت و به سمت آینده‌ای روشن حرکت کرد. بخش دوم کتاب بر روی ابزارها، تکنیک‌ها و استراتژی‌های عملی متمرکز است که با به‌کارگیری آن‌ها، خوانندگان می‌توانند به صورت گام به گام به اهداف مالی و شخصی خود نزدیک شوند. از جمله این تکنیک‌ها می‌توان به راهکارهای افزایش بهره‌وری، مدیریت زمان بهینه، پس‌انداز و سرمایه‌گذاری‌های هوشمندانه اشاره کرد. علاوه بر جنبه‌های فنی و عملی، کتاب به ابعاد فلسفی موفقیت نیز می‌پردازد و خواننده را دعوت می‌کند تا تعریفی عمیق‌تر از موفقیت داشته باشد. تریسی تأکید می‌کند که موفقیت تنها به پول و دارایی محدود نمی‌شود، بلکه شامل رضایت‌مندی، رشد شخصی، توانایی خدمت به دیگران و داشتن زندگی‌ای معنا دار است.,مالی
